pharmacy_key,pharmacy_name,city,address,phones_str,phones_json
ph_67bbc1000092,MARCHE DE GROS DE BOUAKE SARL,Bouake,FACE MARCHE DE GROS,27 31 60 11 95 / 07 09 89 95 48 / 07 01 68 03 84 / 27 31 65 40 56,"[""27 31 60 11 95"", ""07 09 89 95 48"", ""07 01 68 03 84"", ""27 31 65 40 56""]"
ph_2377d88922bd,MARCHE MAROC,Bouake,NON LOIN DU PETIT MARCHE MAROC I,07 99 83 33 61,"[""07 99 83 33 61""]"
ph_be1ec43fb90c,MODERNE KENNEDY / M.TOA BI IRIE,Bouake,KENNEDY ROUTE DE M'BAHIAKRO ENTRE STATION TOTAL ET FEUX TRICOLORES,27 31 62 42 04 / 07 68 11 54 69 / 07 17 55 50 76,"[""27 31 62 42 04"", ""07 68 11 54 69"", ""07 17 55 50 76""]"
ph_78b7344b4a48,NLLE DU CHATEAU,Bouake,QUARTIER AHOUGNANSOU A COTE DU CHATEAU D'EAU,07 78 97 73 07 / 07 47 64 88 95,"[""07 78 97 73 07"", ""07 47 64 88 95""]"
ph_741416723e5a,NOTRE DAME DE L'ESPERANCE SARL U,Bouake,AIR France 1 ENTRE LE PONT DJIBO ET LES SAPEURS POMPIERS EN FACE DU COLLEGE RUTH FIDELE / IMMEUBLE LE LABELLE,27 31 62 43 57 / 07 68 60 75 79,"[""27 31 62 43 57"", ""07 68 60 75 79""]"
ph_212724a271ea,NOTRE DAME DE LA PAIX,Bouake,GRAND MARCHE EN FACE DE LA GARE UTB/ A COTE DE LA PREFECTURE DE POLICE,27 31 64 85 85 / 07 48 54 69 71,"[""27 31 64 85 85"", ""07 48 54 69 71""]"
ph_f4528bb89db3,PETIT MARCHE BELLEVILLE 2,Bouake,BELLEVILLE 2 PETIT MARCHE / ROUTE FETEKRO,27 24 58 51 96 / 01 01 11 12 02,"[""27 24 58 51 96"", ""01 01 11 12 02""]"
ph_43a6e91494d4,SAINT JACQUES,Bouake,"DAR ES SALEM, AU CARREFOUR DU COLLEGE STJACQUES",05 86 46 03 28,"[""05 86 46 03 28""]"
ph_565ca7866b3e,SAINT JEAN,Bouake,QTIER AHOUGNANSOU AVANT LE PETIT MARCHE,27 33 80 01 86 / 07 57 14 38 42,"[""27 33 80 01 86"", ""07 57 14 38 42""]"
ph_75306f1790b2,SAINT MARC BROUKRO,Bouake,EME ARRET / PRET DU GROUPE SCOLAIRE BROUKRO 1,07 49 07 27 97 / 01 01 15 72 20,"[""07 49 07 27 97"", ""01 01 15 72 20""]"
ph_f6e22de2ed8c,SAINTE FAMILLE DE TOLLAKOUADIOKRO,Bouake,EN FACE DU MARCHE DE TOLLAKOUADIOKRO,27 32 79 46 66 / 07 14 64 24 34,"[""27 32 79 46 66"", ""07 14 64 24 34""]"
ph_a6e5413456dc,ST PIERRE NIMBO (NVLLE) - M. MONPOEHO DE MODE SERGE CLAVER,Bouake,NIMBO CARREFOUR ST PIERRE,27 31 63 22 63 / 07 03 12 81 71,"[""27 31 63 22 63"", ""07 03 12 81 71""]"
ph_843ccfdb828e,STE MADELEINE NIMBO 18 LGTS / M.GNINIBOU SERY,Bouake,"NIMBO, IMMEUBLE LES 18 LGTS",07 57 14 38 20 / 07 59 60 84 19,"[""07 57 14 38 20"", ""07 59 60 84 19""]"
ph_91fbd9f227ef,STE MARIE N'GATTAKRO,Bouake,"N'GATTAKRO EN FACE DE L'EGLISE CMA, ANCIENNE GARE STIF",27 31 63 16 17 / 01 02 50 32 78 / 07 00 92 11 21,"[""27 31 63 16 17"", ""01 02 50 32 78"", ""07 00 92 11 21""]"
ph_315f8361c5d6,T S F (GRANDE),Bouake,QUARTIER AIR FRANCE II A COTE DU COLLEGE VICTOR HUGO,27 31 63 51 15 / 07 00 37 61 14,"[""27 31 63 51 15"", ""07 00 37 61 14""]"
ph_c3b20e13a149,VICTOR TENENA,Bouake,BEAUFORT FACE HOTEL DE L'AIR,07 57 14 38 40 / 27 31 63 14 05,"[""07 57 14 38 40"", ""27 31 63 14 05""]"
ph_84a368b319e5,ABRAHAM,Dabou,,27 23 57 20 93,"[""27 23 57 20 93""]"
ph_58d060fec2d3,DE DABOU (GDE),Dabou,,27 23 57 20 61 / 07 79 15 05 40,"[""27 23 57 20 61"", ""07 79 15 05 40""]"
ph_282554091bdd,DES LAGUNES,Dabou,,27 23 57 21 45,"[""27 23 57 21 45""]"
ph_3a6d85ec0b0a,DES VILLAGES,Dabou,,27 23 57 45 45,"[""27 23 57 45 45""]"
ph_22873f38057b,DU MARCHE,Dabou,,27 23 57 45 03,"[""27 23 57 45 03""]"
ph_db4f66369122,ENTENTE DABOU,Dabou,QUARTIER MERTMETVILLE NON LOIN DE LA MAIRIE,27 34 75 11 28 / 05 85 21 34 49,"[""27 34 75 11 28"", ""05 85 21 34 49""]"
ph_e821c23bc82e,FEZAN,Dabou,,27 23 57 23 52,"[""27 23 57 23 52""]"
ph_82bda65b65bc,TEHIA,Dabou,,01 40 27 55 03,"[""01 40 27 55 03""]"
ph_0031de9d7bc6,ADONAI D'ORLY,Daloa,,27 32 78 31 85,"[""27 32 78 31 85""]"
ph_aab8fe1e7480,ANEAUD,Daloa,,27 32 78 28 28 / 07 10 25 83 53,"[""27 32 78 28 28"", ""07 10 25 83 53""]"
ph_e8a9abe96233,CARREFOUR LABIA,Daloa,,27 32 78 49 92,"[""27 32 78 49 92""]"
ph_d55fb3124391,CENTRALE,Daloa,,27 32 78 22 43 / 07 47 47 55 55,"[""27 32 78 22 43"", ""07 47 47 55 55""]"
ph_cde695770366,DES ANTILOPES,Daloa,,27 32 78 80 48,"[""27 32 78 80 48""]"
ph_b7d8e970d174,DES GARAGES (GRDE),Daloa,,07 57 49 23 15 / 01 40 23 90 72,"[""07 57 49 23 15"", ""01 40 23 90 72""]"
ph_bb6bd71d11a0,DU COMMERCE,Daloa,,27 32 78 20 82,"[""27 32 78 20 82""]"
ph_450614e4938a,DU GRAND MARCHE,Daloa,,27 32 78 35 35,"[""27 32 78 35 35""]"
ph_91f458fc1b33,DU JUBILE DE TAZIBOUO,Daloa,,27 32 78 52 52,"[""27 32 78 52 52""]"
ph_c914e3ba83df,DU PARVIS,Daloa,,27 32 78 70 57,"[""27 32 78 70 57""]"
ph_8c780409fb6d,DU PROGRES,Daloa,,27 32 78 22 53,"[""27 32 78 22 53""]"
ph_f64373643c11,DU SOLEIL (NLLE),Daloa,,27 32 78 37 98,"[""27 32 78 37 98""]"
ph_a65216c08477,FATIMA ORLY,Daloa,,07 00 11 00 25,"[""07 00 11 00 25""]"
ph_7630c7627799,FLOREL( NOUVELLE),Daloa,,27 32 78 05 32,"[""27 32 78 05 32""]"
ph_8cde0168a533,MAYESS,Daloa,,27 32 78 15 08,"[""27 32 78 15 08""]"
ph_cb8c8de90e70,PALOMA,Daloa,,05 44 04 44 16,"[""05 44 04 44 16""]"
ph_66403d3c70bb,ST EDMOND-PIERRE,Daloa,,01 01 46 81 91,"[""01 01 46 81 91""]"
ph_c8624efb9408,ST JOSEPH,Daloa,,27 33 74 81 83 / 07 05 88 52 60,"[""27 33 74 81 83"", ""07 05 88 52 60""]"
ph_d938ced082e5,STE EMMANUELLA,Daloa,,27 32 78 21 85 / 07 07 36 51 11,"[""27 32 78 21 85"", ""07 07 36 51 11""]"
